"","PC1","PC2","SampleID","lib.size","norm.factors","Sample","ID","rna_lib_type","rna_batch","pair","mother","sex","date_birth","remark","year","ID_tp","ID_tp.1","group","sample_collection_date","sample_collection_Dec_days","delta_days_samples","age_days","tissue","colony","life_history_stage"
"C5_FWB_pup_start_2018B",25.9003341470294,-66.924880513575,"C5_FWB_pup_start_2018B",16022472.9784813,1.06357080283826,"C5_FWB_pup_start_2018B","C5","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCutzE","F5_C5","F5","M",NA,NA,"2018_2019","C5_1","C5_1","1","14-12-2018",14,0,"2to5","blood","FWB","Pup"
"C5_FWB_pup_end_2018B",-13.462780551039,-55.5975752573311,"C5_FWB_pup_end_2018B",16849955.8609979,1.20539419729031,"C5_FWB_pup_end_2018B","C5","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCuueE","F5_C5","F5","M",NA,"not sure about delta days","2018_2019","C5_2","C5_2","2","09-02-2019",71,57,"60","blood","FWB","Pup"
"C6_FWB_pup_start_2018B",-60.6704751843339,18.8317688182502,"C6_FWB_pup_start_2018B",25908766.361214,1.23045300780754,"C6_FWB_pup_start_2018B","C6","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F6_C6","F6","F",NA,NA,"2018_2019","C6_1","C6_1","1","15-12-2018",15,0,"2to5","blood","FWB","Pup"
"C6_FWB_pup_end_2018B",-51.4204911227407,-16.1148115371513,"C6_FWB_pup_end_2018B",30044033.416216,1.34426173187232,"C6_FWB_pup_end_2018B","C6","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F6_C6","F6","F",NA,"not sure about delta days","2018_2019","C6_2","C6_2","2","06-02-2019",68,53,"56","blood","FWB","Pup"
"C7_FWB_pup_start_2018B",25.0739588091258,25.1855727987956,"C7_FWB_pup_start_2018B",31935402.974788,0.951719533264953,"C7_FWB_pup_start_2018B","C7","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F7_C7","F7","M",NA,"not sure about age","2018_2019","C7_1","C7_1","1","17-12-2018",17,0,"2to5","blood","FWB","Pup"
"C7_FWB_pup_end_2018B",-61.0734243445559,-38.0850357802185,"C7_FWB_pup_end_2018B",20360652.5548882,1.28883656714114,"C7_FWB_pup_end_2018B","C7","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F7_C7","F7","M",NA,"not sure about age","2018_2019","C7_2","C7_2","2","16-02-2019",78,61,"64","blood","FWB","Pup"
"C8_FWB_pup_start_2018B",1.42935805977957,-7.83053341652412,"C8_FWB_pup_start_2018B",13826993.1490199,0.964421838923025,"C8_FWB_pup_start_2018B","C8","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F8_C8","F8","M",NA,NA,"2018_2019","C8_1","C8_1","1","17-12-2018",17,0,"2to5","blood","FWB","Pup"
"C8_FWB_pup_end_2018B",37.6058267794171,-73.2768206410149,"C8_FWB_pup_end_2018B",20147762.3944172,1.19512846474664,"C8_FWB_pup_end_2018B","C8","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCutzE","F8_C8","F8","M",NA,"not sure about delta days","2018_2019","C8_2","C8_2","2","07-02-2019",69,52,"55","blood","FWB","Pup"
"C9_FWB_pup_start_2018B",-14.9638723040208,0.809412975112316,"C9_FWB_pup_start_2018B",11605594.5706166,1.10002373012803,"C9_FWB_pup_start_2018B","C9","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F9_C9","F9","M",NA,NA,"2018_2019","C9_1","C9_1","1","17-12-2018",17,0,"2to5","blood","FWB","Pup"
"C9_FWB_pup_end_2018B",6.25305166189637,-73.14413329732,"C9_FWB_pup_end_2018B",7643041.47661679,0.768172414198423,"C9_FWB_pup_end_2018B","C9","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F9_C9","F9","M",NA,"not sure about delta days","2018_2019","C9_2","C9_2","2","06-02-2019",68,51,"54","blood","FWB","Pup"
