"logFC","AveExpr","t","P.Value","adj.P.Val"
1.13228519114082,3.86786160014212,9.47800266025512,5.26605365669144e-18,3.32788260834616e-14
1.73124881410314,-0.0543546087851043,9.07611533506473,7.06834962192851e-17,2.23342177178886e-13
1.31917461163659,4.40772026635666,8.95714454297764,1.51265676217339e-16,3.55121100937261e-13
1.34182966813674,3.12541621486131,8.61524482860814,1.31747679865647e-15,1.85017658424657e-12
1.07647269345448,4.53880258981879,8.55023176515133,1.9805986654465e-15,2.50327865325784e-12
1.49163504291901,2.18077484994063,8.47112002993981,3.24700706904474e-15,3.7308111223324e-12
1.25346970869434,4.40240567211143,8.40100616576509,5.02387464088062e-15,4.74529886388988e-12
1.97830922194299,4.73620185379244,8.34121344088947,7.28032695201505e-15,6.13440348976788e-12
1.30575850253506,3.73952895736775,8.22929782991441,1.45326116794373e-14,1.14798549385255e-11
1.24243480529955,2.55910794277172,8.20117163292351,1.72783470013304e-14,1.28459428088126e-11
1.13627653248846,4.03746619649998,8.13831779511703,2.54119922725346e-14,1.78434539073647e-11
1.48824429790673,2.22968793302166,7.77039292528461,2.36377346559644e-13,1.37247964872139e-10
1.13221712514022,3.28267942948376,7.76143032355078,2.49420245415261e-13,1.37247964872139e-10
1.18067043269504,5.86642253153431,7.76120381567745,2.49758935996455e-13,1.37247964872139e-10
1.35772171355441,1.10581425611219,7.65041068463938,4.83913412254255e-13,2.44647264699261e-10
1.24144002186668,3.99792473490802,7.41487936716972,1.94302504282191e-12,7.92190113426648e-10
1.30451647999701,0.880446632058457,7.28671760052019,4.10078922328342e-12,1.5701859537442e-09
1.1530732680082,6.6596658650263,7.28161642251265,4.22393562997885e-12,1.5701859537442e-09
1.19740710565801,4.1814170372231,7.02893090058907,1.80362360546997e-11,6.51314249986712e-09
1.36999517324703,3.33329020867218,6.91217632302887,3.49379419081316e-11,1.19346121020777e-08
0.908662192754139,3.77283434910464,6.87431169829669,4.32359082899267e-11,1.43804906546417e-08
1.35356407962372,5.86531199209298,6.86671799506259,4.51201271937696e-11,1.46223919897963e-08
1.2177692014567,3.04019327799954,6.8064972456787,6.32229249001827e-11,1.90255844717478e-08
1.13347939522016,4.73980581293148,6.77992457345462,7.33308018115393e-11,2.15541396301406e-08
1.52998609817802,-1.37952926777753,6.74643845348678,8.83590060663224e-11,2.48170995038278e-08
