"","PC1_GE","PC2_GE","Sample","lib.size","norm.factors","ID","rna_lib_type","rna_batch","pair","mother","sex","date_birth","remark","year","group","sample_collection_date","sample_collection_Dec_days","delta_days_samples","age_days","tissue","colony","life_history_stage","WBCin10_total","WBCin10_Neutro","WBCin10_Eo","WBCin10_Baso","WBCin10_Lympho","WBCin10_Mono","Diff_Neutro","Diff_Eo","Diff_Baso","Diff_Lympho","Diff_Mono","TimeTo100","WBC_ratio","WBC_ratio_log","PC1","PC2","PC3","PC4","PC5"
"1",-0.383455737410141,-30.0286100070765,"C1_FWB_pup_start_2018A",11886510.0275422,0.685663204535507,"C1","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F1_C1","F1","M",NA,NA,"2018_2019","1","10-12-2018",10,0,"2to5","blood","FWB","Pup","8","1","0","1","6","0",4,1,6,88,1,NA,0.136363636363636,-1.99243016469021,-0.0177474743925603,0.041274884561993,0.00785672360616701,0.0305170388524845,0.0614046041710347
"2",65.9509921308086,-38.0083777272928,"C1_FWB_pup_end_2018B",30842738.6170758,1.34669322014606,"C1","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F1_C1","F1","M",NA,"not sure about delta days","2018_2019","2","02-02-2019",64,54,"57","blood","FWB","Pup","1","1","0","0","0","0",47,8,7,35,3,"68",1.85714285714286,0.619039208406224,-0.0177474743925603,0.041274884561993,0.00785672360616701,0.0305170388524845,0.0614046041710347
"3",75.6110630200819,5.6237406414947,"C11_FWB_pup_start_2018B",29668353.4273468,1.38915388344585,"C11","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F11_C11","F11","F",NA,NA,"2018_2019","1","18-12-2018",18,0,"2to5","blood","FWB","Pup","2","2","0","0","0","0",39,2,0,52,7,"38",0.923076923076923,-0.0800427076735364,-0.0191888615645462,0.0234606012518329,-0.0217013370759927,-0.0241259857135923,0.0553746409418524
"4",-40.6338909413751,25.6726212425552,"C14_FWB_pup_start_2018B",13656587.6967012,0.569815793553358,"C14","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCutzE","F14_C14","F14","M",NA,NA,"2018_2019","1","20-12-2018",20,0,"2to5","blood","FWB","Pup","17","0","0","0","17","0",11,1,0,88,0,"9",0.136363636363636,-1.99243016469021,-0.0226538665255861,-0.0200591345408045,-0.0304060418275773,0.010005083453797,0.0433573460002541
"5",32.2870170734594,14.6313709038263,"C14_FWB_pup_end_2018B",23105004.4878128,1.06787425113583,"C14","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F14_C14","F14","M",NA,"not sure about delta days","2018_2019","2","07-02-2019",69,49,"52","blood","FWB","Pup","6","2","0","0","4","0",29,8,3,56,4,"125",0.785714285714286,-0.241162056816888,-0.0226538665255861,-0.0200591345408045,-0.0304060418275773,0.010005083453797,0.0433573460002541
"6",29.4075640731478,44.0095181364385,"C15_FWB_pup_start_2018B",30793930.6285769,1.15805743547958,"C15","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F15_C15","F15","M",NA,NA,"2018_2019","1","20-12-2018",20,0,"2to5","blood","FWB","Pup","4","1","0","0","3","0",16,4,0,75,5,"41",0.333333333333333,-1.09861228866811,-0.0188990860766718,0.00831134060495917,-0.0282380931469097,-0.031753168615702,0.00567453844001377
"7",4.07345796717181,6.29898185751556,"C16_FWB_pup_start_2018B",30943331.5637802,1.13630107130287,"C16","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCuueE","F16_C16","F16","M",NA,NA,"2018_2019","1","20-12-2018",20,0,"2to5","blood","FWB","Pup","2","0","0","0","2","0",14,3,0,80,3,"60",0.25,-1.38629436111989,0.0168890519247293,0.0333314673405156,-0.0020073260559035,-0.0449350117066275,0.0368504644728005
"8",60.6326781416971,8.72811807024994,"C17_FWB_pup_start_2018B",28984294.5905652,1.23951931139589,"C17","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F17_C17","F17","M",NA,NA,"2018_2019","1","20-12-2018",20,0,"2to5","blood","FWB","Pup","0","0","0","0","0","0",10,5,12,67,6,"250",0.492537313432836,-0.708185057924486,-0.0279299140538463,0.0240392120116837,-0.0527162930834576,0.0180726635617379,0.0293134925419068
"9",37.5511410470545,-37.8757138197257,"C17_FWB_pup_end_2018B",26121967.507918,1.29603616352715,"C17","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F17_C17","F17","M",NA,"not sure about delta days","2018_2019","2","11-02-2019",73,53,"56","blood","FWB","Pup","6","5","0","0","0","1",61,3,0,22,14,"27",3.54545454545455,1.26566637333128,-0.0279299140538463,0.0240392120116837,-0.0527162930834576,0.0180726635617379,0.0293134925419068
"10",30.6783157203498,24.897637815861,"C18_FWB_pup_start_2018B",28480519.3159153,1.11001762426955,"C18","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCutzE","F18_C18","F18","F",NA,NA,"2018_2019","1","20-12-2018",20,0,"2to5","blood","FWB","Pup","1","0","0","0","0","1",8,8,0,78,6,"83",0.282051282051282,-1.26566637333128,-0.0249819726361243,-0.0445657017295909,-0.0351704916489411,-0.0229896984766423,0.00449092035583114
