"","logFC","AveExpr","t","P.Value","adj.P.Val","Significance"
"tmprss7",-2.66382770594968,-0.753579112048425,-6.26180382989098,1.31561570234155e-09,3.197705165749e-07,"Downregulated"
"gcgr",-2.32062270636149,-2.70490371397673,-6.19870217520259,1.83431850837769e-09,4.37433049573315e-07,"Downregulated"
"sorcs2",-2.53825021071408,-0.0849588514216197,-6.19487652929713,1.87153280360028e-09,4.38042650087109e-07,"Downregulated"
"cdh11",-2.19255917887152,-1.5011305946326,-6.13174874795702,2.60410127810088e-09,5.98422473707583e-07,"Downregulated"
"kirrel1",-1.9200792905636,0.635387980723241,-6.11309474941269,2.86997155921287e-09,6.4774233101592e-07,"Downregulated"
"mmp28",2.44915401815257,0.381058946907242,6.00058215002545,5.13855758535557e-09,1.13940753195279e-06,"Upregulated"
"arhgap36",-2.15568233589227,-3.03927256460161,-5.97745629285015,5.78726509240014e-09,1.26112488798009e-06,"Downregulated"
"prss33",-2.52586873923942,-2.6672082124052,-5.92769621829406,7.46701802024704e-09,1.59958713148987e-06,"Downregulated"
"nxf3",2.35706444930834,-2.92988998569403,5.89427705656534,8.854207930296e-09,1.86513890051685e-06,"Upregulated"
"ildr2",-2.1138903237154,-0.292952973300851,-5.80373854355139,1.40056370986716e-08,2.90192208672311e-06,"Downregulated"
"spata31e1",-2.30380516711794,-3.16642324978276,-5.65903265986249,2.88733023431501e-08,5.88596239217862e-06,"Downregulated"
"tmprss3",2.25777168268329,-1.81659919839307,5.63665870297243,3.22565508019998e-08,6.47127850137262e-06,"Upregulated"
"axl",-2.07968107169267,0.976370614552881,-5.61805061177604,3.53626962685748e-08,6.98357997091433e-06,"Downregulated"
"cdkn2a",1.58005916454803,1.87773676082955,5.49101556256398,6.58886525516041e-08,1.2811795070765e-05,"Upregulated"
"mzb1",1.87765403556402,3.81661128528969,5.42552966119172,9.04763307724289e-08,1.73262173429201e-05,"Upregulated"
"cga",2.01876344266839,0.230826530124858,5.355405320937,1.26704761123494e-07,2.39018130722364e-05,"Upregulated"
"abcb1",-2.24012589578829,-0.937782308988218,-5.35137618234423,1.29168855581856e-07,2.40083112602805e-05,"Downregulated"
"iglv3-1",2.08253422050105,5.39660611117448,5.34320935732973,1.34307409047327e-07,2.46016136659299e-05,"Upregulated"
"insrr",1.98492781783685,-1.37232852373252,5.30977941555941,1.57495973355487e-07,2.84370229605713e-05,"Upregulated"
"plcl1",-1.79395831117795,0.317168391693003,-5.29989754829862,1.65066886728565e-07,2.91872241457288e-05,"Downregulated"
"zc2hc1a",2.01599001281492,-2.09015405341324,5.29836858574335,1.66269494302752e-07,2.91872241457288e-05,"Upregulated"
"znf503",1.88913197531929,-0.277174304527339,5.20236795394247,2.61532338918475e-07,4.52809209806932e-05,"Upregulated"
"pls3",1.88258963925463,-0.416602900060174,5.0457680952921,5.40913038996824e-07,9.23864851335252e-05,"Upregulated"
"cacna1i",-2.12445664993739,1.94488308431088,-4.97093904852609,7.61344243593991e-07,0.000128301731930459,"Downregulated"
"gzmk",2.01316630120868,5.27070434600318,4.96026148597132,7.99169271758572e-07,0.000132903952970482,"Upregulated"
"nags",1.89079170166473,-2.40803972839978,4.95165525872985,8.30976193352281e-07,0.000136398806594539,"Upregulated"
"pald1",-2.00220019191162,-0.244137135056156,-4.92061310679542,9.56213922437659e-07,0.000154943432893456,"Downregulated"
"mapt",2.03152708953367,-2.82461860675258,4.9171620977763,9.71217029658891e-07,0.000155382430858971,"Upregulated"
"hgd",1.9653096606764,-3.63762526836566,4.9098536162646,1.00374674255063e-06,0.000158579438488717,"Upregulated"
"dstn",1.83359714978103,-0.628486562209457,4.85434380468306,1.28768461049307e-06,0.00020092649125953,"Upregulated"
"sox4",-1.52938032892107,0.885767618581547,-4.81636863005651,1.52518704237688e-06,0.000235083402787821,"Downregulated"
"pnma8c",2.18817276201966,-2.57039064496793,4.79842113255208,1.65167646589173e-06,0.000251512516294044,"Upregulated"
"kcnip3",1.88102184901816,-3.9968203667304,4.74091131917009,2.12905047798855e-06,0.00031700552393616,"Upregulated"
"tnfrsf17",1.86842560581065,-0.129486740262756,4.74060378955304,2.13193049565421e-06,0.00031700552393616,"Upregulated"
"trgc1",1.86580725654213,5.85383384486009,4.72925387697792,2.24089493835276e-06,0.000329333385184192,"Upregulated"
"znf711",-1.64217955449066,-0.301401909960835,-4.72572631869581,2.27584327313336e-06,0.000330625093438305,"Downregulated"
"plekhg5",-1.80363599108301,2.92770853631902,-4.64330286168221,3.25958852763372e-06,0.000468158402281393,"Downregulated"
"ildr1",1.8502714002845,-2.08687311579685,4.62985874478458,3.45482126856538e-06,0.000490623438352784,"Upregulated"
"c4orf50",2.01824770027976,-2.55018426697433,4.60880570281845,3.78338967542771e-06,0.000531314023419231,"Upregulated"
"igh-1a",1.73039247074566,5.86276801939234,4.57683541627434,4.34060454664804e-06,0.000602867042473457,"Upregulated"
"glycine n-phenylacetyltransferase ",-1.71257430512636,-0.249784992342488,-4.51303483384751,5.69815984929717e-06,0.000782815677557249,"Downregulated"
"vegfc",-1.88623490974975,-1.60923032066641,-4.45044903411079,7.42172933245528e-06,0.00100863695734303,"Downregulated"
"fam131b",1.82746083157519,2.23685182414065,4.42543099588742,8.2424986876255e-06,0.00110826532886062,"Upregulated"
"rap2c",1.93730573480723,-2.79345172455352,4.38597912283569,9.71662859995744e-06,0.00129272072499855,"Upregulated"
"c2",-2.52648292904697,0.57587197946146,-4.37703050565792,1.00846070724222e-05,0.00132770154987859,"Downregulated"
"vit",1.90454586885757,1.17169599270638,4.33559939556434,1.19698328062377e-05,0.00155965687461895,"Upregulated"
"col27a1",-1.81838568706297,-2.19852993375115,-4.32674119348329,1.2414650071455e-05,0.00160110981890938,"Downregulated"
"nos2",1.6494856908283,0.767121673415737,4.31700569186047,1.29217996053098e-05,0.00164968308294455,"Upregulated"
"mx1",-1.86828148231831,6.07602855919801,-4.3135057642479,1.3108929081123e-05,0.00165683754656313,"Downregulated"
"tnfrsf13b",1.46696922923266,3.1032188568439,4.29935424957363,1.38923968014467e-05,0.00173847527894539,"Upregulated"
"vwa5b2",1.65614446496599,0.630046915979468,4.27742549190838,1.51957491473818e-05,0.00188293209287998,"Upregulated"
