"","logFC","AveExpr","t","P.Value","adj.P.Val"
"pgs1",-0.965768269841019,7.66304612210416,-6.46454303324004,4.23203732871073e-10,7.42898886077429e-08
"g6pc",-1.30980062352203,2.11487198560548,-6.45201323319732,4.52880506836704e-10,7.73507665663392e-08
"fam229a",-1.06609473815696,4.44897350754828,-6.40547457537309,5.82117187814853e-10,9.80983884905591e-08
"acss1",-1.22216215151244,10.1928742341174,-6.36662787785065,7.17223565545776e-10,1.17820239186122e-07
"hnmt",-1.38881483814714,2.32249695222434,-6.36648045537774,7.17790839254007e-10,1.17820239186122e-07
"olfml3",-1.22050459743047,1.99538926741014,-6.35849828152034,7.4917278130466e-10,1.21394804909097e-07
"inhba",-1.87229202826369,-1.07360344778408,-6.35116718318785,7.79180089283601e-10,1.23078815172913e-07
"c3orf80",-1.35926540182011,1.22258363569293,-6.35027998905523,7.82890646878416e-10,1.23078815172913e-07
"s100a9",-1.48563541741712,11.7640324808534,-6.34613512787966,8.00457145565896e-10,1.23377778814724e-07
"asprv1",-1.10524129498904,4.20218208868566,-6.34037571612047,8.25510601802124e-10,1.2570636742382e-07
"tubulin beta-5 chain ",-1.06301773180688,5.87551695047046,-6.33592682554413,8.45389038644597e-10,1.27200857850346e-07
"hp",-1.78740042986653,0.70306476254354,-6.33087831536956,8.68516474170971e-10,1.29143290788787e-07
"s100a8",-1.58041516786374,9.76840282365738,-6.32371039472723,9.02423842938632e-10,1.32624825010481e-07
"prr7",-1.08026237765647,5.5081163087065,-6.29557657774405,1.04853272514127e-09,1.52326495552419e-07
"wls",-1.21179438712617,1.00341909818447,-6.28749006389805,1.09466582110144e-09,1.57221378555695e-07
"serpina1",-0.985902141122482,10.8489707163859,-6.2830022138517,1.12112264377888e-09,1.59212012300239e-07
"plin3",-0.969687808087756,7.0572732607569,-6.24477596476344,1.37344721612214e-09,1.92359074006018e-07
"nampt",-1.38323824438886,7.66177515210427,-6.24319917814708,1.38497315725514e-09,1.92359074006018e-07
"lvrn",-1.76594588555265,2.46185613753356,-6.15203933083777,2.24032000660312e-09,2.94952130869342e-07
"ctsk",-0.986164251912338,6.2003098329654,-6.14873557848219,2.27952366678126e-09,2.97019583757199e-07
"lcn2",-1.29527621523104,4.8268207073677,-6.12046691234744,2.6436671253512e-09,3.37508169669837e-07
"pts",-1.14394305032482,2.31978177875807,-6.111474740049,2.77103294471632e-09,3.50230853882696e-07
"qpct",-1.04842636920091,5.35535021964322,-6.10929995967864,2.80272908318562e-09,3.50729632498842e-07
"junb",-0.954868784578997,9.09286182589123,-6.09104081543452,3.083249461463e-09,3.82050881798342e-07
"fcgr1a",-1.12910067991884,8.00080538826844,-6.08887935497711,3.11822614591684e-09,3.82633594740223e-07
"hey2",-1.1825246139614,1.51442810515444,-6.06354047277839,3.55841894521159e-09,4.3245054854355e-07
"il7",-1.35307010996919,0.773746959651622,-6.05345337069287,3.7501233440652e-09,4.47149140996604e-07
"cd300c",-1.51820081664688,7.8221321717128,-6.04870652056763,3.84380425848191e-09,4.50084731073416e-07
"tbx6",-1.49778957593445,1.70259986521251,-6.04859838045978,3.84596494627177e-09,4.50084731073416e-07
"ffar2",-1.06290979220162,10.2360345698958,-6.04556105570546,3.9071406547055e-09,4.53049089310301e-07
"vmo1",-1.16820233247292,1.68414768623475,-6.03278380668714,4.17510348537678e-09,4.79719390469792e-07
"cdc42ep2",-1.17555475745756,2.91958537512524,-6.00593867069189,4.79809306349112e-09,5.38474034002588e-07
"ehd1",-0.984417557270614,9.31193815238384,-6.00528803184607,4.81427057854992e-09,5.38474034002588e-07
"tnip3",-1.19187674122981,2.93818742844064,-5.99463871992046,5.08677732334942e-09,5.63962970086082e-07
"sphk1",-1.13862852231632,2.3260202793195,-5.94168997092667,6.68245906499462e-09,7.2810000105575e-07
"plod1",-0.959974284976442,7.26432495553043,-5.9295394943634,7.11268613584559e-09,7.68352479238909e-07
"dhx34",-0.993944143512623,8.9518337346182,-5.90032744922913,8.26106794816132e-09,8.81754502168252e-07
"eif4ebp1",-1.20828211627847,8.7679824978778,-5.89936158610119,8.30198478977942e-09,8.81754502168252e-07
