;sMLH_SNP.new;sMLH_microsats.new;froh
S1;1.00595098341918;1.03415580890544;0.0844226349874751
S2;0.998017887262623;0.962834718636104;0.0828890757266713
S3;1.01293057242153;1.06981635404012;0.0462088509435556
S4;1.04546034724322;0.927174173501433;0.0461205537761475
S5;1.01202817238871;0.962834718636104;0.066438127357195
S6;1.00418696963889;1.10310168335088;0.0723628233613374
S7;0.987230675627635;1.10547689917479;0.0716059277422125
S8;0.973475341223914;0.891513628366763;0.086728464996057
S9;0.977133015300194;0.962834718636104;0.0882611456780806
S10;1.01038589077658;1.1375123020118;0.0668844453775263
S11;0.999536125204056;1.03415580890544;0.0793422531910856
S12;1.02583595053271;1.01871820265812;0.0537606748485909
S13;1.04077811274767;0.990736521107056;0.041714920482936
S14;1.0012594033823;0.998495263770774;0.0837461293267367
S15;0.989675155325995;0.784531992962751;0.08307797016441
S16;1.01968766131648;0.998495263770774;0.0678170567526872
S17;1.01827432149478;0.962834718636104;0.0583121522193122
S18;0.970482234913511;0.855853083232092;0.0909245572501956
S19;1.00815981257088;0.891513628366763;0.0719990917463429
S20;1.01103033808828;1.03415580890544;0.0928609448817118
S21;1.00671538112948;0.962834718636104;0.087461638988117
S22;0.994999480667761;0.998495263770774;0.078381527294959
S23;0.990226245182194;0.998495263770774;0.0874431888337332
S24;1.00989472973928;0.962834718636104;0.0628311221751669
S25;0.997828381873599;0.927174173501433;0.0737443884931701
F1;0.988960249081828;0.954042575880869;0.0773101004725297
F2;0.99362579265676;0.809551845057682;0.0867025469220417
F3;1.01363281185635;0.784531992962751;0.056947719373693
F4;1.00118924554679;0.919475829197381;0.0665374067593553
F5;1.01449588488662;1.14094744976381;0.0698083555579647
F6;1.00981427760808;0.855853083232092;0.0882106273982202
F7;1.02693128845408;0.993033895533171;0.0590071080344344
F8;1.02168387369774;0.962834718636104;0.0561231731884943
F10;1.00446580526583;0.998495263770774;0.0768053569633164
F11;0.996061312687088;0.927174173501433;0.0901922618369158
F12;1.00257654380951;1.17679798944413;0.0765237724642688
F13;0.996026971672898;0.855853083232092;0.0800055801701213
F14;1.02343894516403;0.891513628366763;0.0640053427148772
F15;0.998023276563594;1.06981635404012;0.0818488384509385
F16;1.00467209483927;0.855853083232092;0.0671396725131686
F17;1.01055452240626;0.820192538097422;0.0576681539734404
F18;1.01247813786759;0.962834718636104;0.0717702219741061
F19;1.0060526719148;0.998495263770774;0.0603675872755428
F20;1.00635465191497;1.10414269331982;0.0764732541844085
F21;1.01014649986669;0.927174173501433;0.0754589349826909
F22;1.00583750139687;1.14113744430946;0.0559887506351268
F23;1.00239800406539;0.998495263770774;0.0804154371710751
F24;1.02765877494949;0.820192538097422;0.0556504978047576
F25;1.01857608194002;1.13866194597964;0.0835220917377908
F26;1.00079369128049;0.855853083232092;0.0708543035957687
H4;0.985568282113458;0.784531992962751;0.074203445905814
H0;0.996113342397968;0.998495263770774;0.0914323757851395
H2;1.00031807570497;0.962834718636104;0.0868237907937065
H3;0.990864989475761;0.998495263770774;0.0883498821348788
H1;1.00882184957174;1.06981635404012;0.0823900429795292
H5;1.03101449162792;1.06981635404012;0.0584417425893887
H6;0.975142731261537;0.855853083232092;0.077331186363254
H8;0.972892622261743;0.927174173501433;0.0676448553117719
H7;1.00069670428917;0.998495263770774;0.076593180187903
H9;0.974124011300999;1.06981635404012;0.0755336141790062
H10;0.999796547729944;1.03415580890544;0.0612795520493694
H11;0.99489163189508;1.03415580890544;0.0747345467784327
H12;0.992702318635151;1.10547689917479;0.0759061315818024
H13;1.00080068442618;0.998495263770774;0.0692746189490054
H15;0.991214120132127;1.03415580890544;0.0788054415563957
H16;1.0118317239066;1.06981635404012;0.0711719098248037
H14;0.998651284649946;1.06981635404012;0.0563849896649879
H17;0.987695778391093;0.927174173501433;0.0724225667183896
H18;1.00201910461496;1.06981635404012;0.0663533445049077
H20;0.987640481967817;0.998495263770774;0.086371762011304
H21;1.01740081359651;1.2124585345788;0.0609131846980345
H22;0.990639103901192;1.10547689917479;0.0763458602612824
H23;1.02533942476334;0.820192538097422;0.053883236588426
H24;0.982416233869052;0.927174173501433;0.0874251779687395
H19;1.01654383594448;1.06981635404012;0.0795500370725981
C1;1.0010048488255;0.962834718636104;0.0771967638098865
C2;1.0053521040854;1.06981635404012;0.0777261075249448
C3;1.00127681490061;1.10547689917479;0.0802669573572248
C4;0.978875600639875;0.927174173501433;0.102544640196853
C5;1.02035852774262;1.06981635404012;0.0600662347539412
C6;1.02054946246802;0.927174173501433;0.0681315879559915
C7;0.982838721255344;0.962834718636104;0.0636864186176719
C8;0.980284168293439;1.03415580890544;0.0823658820630743
C9;0.996540729981298;1.06981635404012;0.0848316134096488
C10;1.02174634131309;0.962834718636104;0.0535880341182855
C11;0.990236168165891;NA;0.104148485760072
C12;1.00878964596301;1.10547689917479;0.0682932464515446
C13;0.984389050461326;0.998495263770774;0.0908784318642362
C14;0.976043602320429;1.09747840404987;0.0859487263286474
C15;0.998032675106822;0.927174173501433;0.05492918462623
C16;1.0065458777388;1.03415580890544;0.0637026723251053
C17;0.992557824318317;1.03415580890544;0.073382414035736
C18;0.99640128734912;1.03415580890544;0.0789429391354938
C19;1.00977470846993;0.956923667543843;0.0732633666110216
C20;1.00990060698014;0.998495263770774;0.0580736180804934
C21;0.987864428182839;0.962834718636104;0.071706085723153
C22;0.982259080647609;1.0300052261446;0.0794907330049359
C23;0.999973556453512;1.1048148435263;0.068192209891824
C24;0.994004238618234;1.10547689917479;0.0747696899296399
C25;1.01377208068537;NA;0.0698505273394133
C26;0.988191837535687;0.990260735702466;0.0567944073765517
FWB1;1.00864409267262;NA;0.0662321006332429
FWB19;0.986679943228612;0.891513628366763;0.0853881930668927
FWB3;1.00080095933753;1.03415580890544;0.0580230998006331
N10;0.988862650155719;1.03415580890544;0.0864565448635913
N18;0.985562496549852;1.06981635404012;0.0672499341500811
N25;1.00072564543927;1.03415580890544;0.0810471353140244
SSB1;1.01482917512852;0.877982723239894;0.0564776797262968
