PC1,PC2,PC3,PC4,PC5,ID,ID.y,Sample
0.007951516886976984,-0.012305270510545273,-0.01394232471578957,-0.08003715553182984,-0.0396038058389824,AGF18002,S2,S2_SSB_mum_start_2018B
0.007951516886976984,-0.012305270510545273,-0.01394232471578957,-0.08003715553182984,-0.0396038058389824,AGF18002,S2,S2_SSB_mum_end_2018B
-0.0050880079707184694,0.01885859282426993,-0.0320143595385283,-0.038557438349764946,0.06751315407902136,AGF18006,S6,S6_SSB_mum_start_2018B
0.0026701726448498525,-0.027999256678640616,-0.04028488697609034,-0.018512943798836605,0.015515743955123673,AGF18007,S7,S7_SSB_mum_start_2018B
0.0026701726448498525,-0.027999256678640616,-0.04028488697609034,-0.018512943798836605,0.015515743955123673,AGF18007,S7,S7_SSB_mum_end_2018B
-0.01724594282239242,0.02370590548402965,-0.012379763077759093,-0.03547056894885181,0.03376163874660432,AGF18009,S9,S9_SSB_mum_start_2018B
-0.01724594282239242,0.02370590548402965,-0.012379763077759093,-0.03547056894885181,0.03376163874660432,AGF18009,S9,S9_SSB_mum_end_2018B
0.009099259517950445,0.03642554439007002,-0.015139390396631725,-0.002906298512075443,0.02749118228637399,AGF18014,S14,S14_SSB_mum_start_2018B
0.009099259517950445,0.03642554439007002,-0.015139390396631725,-0.002906298512075443,0.02749118228637399,AGF18014,S14,S14_SSB_mum_end_2018B
0.09750182776319322,-6.202393082577519e-4,-0.037920601195145454,0.014674953925716137,-0.003686174411437605,AGF18015,S15,S15_SSB_mum_start_2018B
0.09750182776319322,-6.202393082577519e-4,-0.037920601195145454,0.014674953925716137,-0.003686174411437605,AGF18015,S15,S15_SSB_mum_end_2018B
-0.013563360786527048,0.024991435361509228,0.01852344334809409,-0.003776945461928288,-0.01351124567571092,AGF18016,S16,S16_SSB_mum_end_2018
0.004349106855259645,0.016589351342768528,-0.012695699584493476,-0.03148457031182299,-0.02522858870146666,AGF18017,S17,S17_SSB_mum_start_2018B
0.004349106855259645,0.016589351342768528,-0.012695699584493476,-0.03148457031182299,-0.02522858870146666,AGF18017,S17,S17_SSB_mum_end_2018B
0.0010873165727567369,-0.0365349728417002,0.0400791585304455,-0.11881826587303851,-0.17959119253811853,AGF18018,S18,S18_SSB_mum_start_2018B
