Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N15_FWB_pup_end_2019B_1	N15_FWB_pup_end_2019B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27339500.0	0.0	100.0	53.0	49.945131925645924	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N15_FWB_pup_end_2019B_2	N15_FWB_pup_end_2019B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27339500.0	0.0	100.0	53.0	51.00806880135495	100.0	100	pass	pass	pass	warn	warn	pass	pass	warn	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N15_FWB_pup_start_2019B_1	N15_FWB_pup_start_2019B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17111298.0	0.0	100.0	54.0	41.539603389031726	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N15_FWB_pup_start_2019B_2	N15_FWB_pup_start_2019B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17111298.0	0.0	100.0	54.0	43.160500133236965	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N17_FWB_pup_start_2019B_1	N17_FWB_pup_start_2019B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24250855.0	0.0	100.0	52.0	53.02582078602752	100.0	100	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N17_FWB_pup_start_2019B_2	N17_FWB_pup_start_2019B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24250855.0	0.0	100.0	52.0	52.25667974988165	100.0	100	pass	pass	pass	warn	warn	pass	pass	warn	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N19_FWB_pup_end_2019B_1	N19_FWB_pup_end_2019B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37768664.0	0.0	100.0	53.0	58.101923562471356	100.0	100	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N19_FWB_pup_end_2019B_2	N19_FWB_pup_end_2019B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37768664.0	0.0	100.0	53.0	47.79125642962108	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N19_FWB_pup_start_2019B_1	N19_FWB_pup_start_2019B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	68353609.0	0.0	100.0	53.0	36.50703299688798	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N19_FWB_pup_start_2019B_2	N19_FWB_pup_start_2019B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	68353609.0	0.0	100.0	53.0	39.37447889081063	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N21_FWB_pup_start_2019B_1	N21_FWB_pup_start_2019B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49371411.0	0.0	100.0	54.0	46.768982916293716	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N21_FWB_pup_start_2019B_2	N21_FWB_pup_start_2019B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49371411.0	0.0	100.0	54.0	41.85393692230616	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N22_FWB_pup_end_2019B_1	N22_FWB_pup_end_2019B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34122251.0	0.0	100.0	52.0	46.53668787623354	100.0	100	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N22_FWB_pup_end_2019B_2	N22_FWB_pup_end_2019B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34122251.0	0.0	100.0	53.0	48.16174244173587	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N22_FWB_pup_start_2019B_1	N22_FWB_pup_start_2019B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25444986.0	0.0	100.0	52.0	51.564324843018014	100.0	100	pass	pass	pass	warn	fail	pass	pass	warn	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N22_FWB_pup_start_2019B_2	N22_FWB_pup_start_2019B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25444986.0	0.0	100.0	52.0	53.31732060293515	100.0	100	pass	pass	pass	warn	fail	pass	pass	warn	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N24_FWB_pup_end_2019B_1	N24_FWB_pup_end_2019B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	67078974.0	0.0	100.0	53.0	40.55476818330801	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N24_FWB_pup_end_2019B_2	N24_FWB_pup_end_2019B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	67078974.0	0.0	100.0	53.0	41.50754297422802	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N24_FWB_pup_start_2019B_1	N24_FWB_pup_start_2019B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56671618.0	0.0	100.0	52.0	48.9862575427632	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N24_FWB_pup_start_2019B_2	N24_FWB_pup_start_2019B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56671618.0	0.0	100.0	52.0	47.41046357565007	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N4_FWB_pup_end_2019B_1	N4_FWB_pup_end_2019B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17203728.0	0.0	100.0	54.0	41.56512678957474	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N4_FWB_pup_end_2019B_2	N4_FWB_pup_end_2019B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17203728.0	0.0	100.0	54.0	43.48561857600249	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N4_FWB_pup_start_2019B_1	N4_FWB_pup_start_2019B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53248927.0	0.0	100.0	53.0	36.768049310869735	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N4_FWB_pup_start_2019B_2	N4_FWB_pup_start_2019B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53248927.0	0.0	100.0	53.0	39.08612648824258	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N5_FWB_pup_end_2019B_1	N5_FWB_pup_end_2019B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	67936163.0	0.0	100.0	52.0	43.9697754588655	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N5_FWB_pup_end_2019B_2	N5_FWB_pup_end_2019B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	67936163.0	0.0	100.0	53.0	48.15172985541672	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N5_FWB_pup_start_2019B_1	N5_FWB_pup_start_2019B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	68122127.0	0.0	100.0	52.0	41.72926376350992	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N5_FWB_pup_start_2019B_2	N5_FWB_pup_start_2019B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	68122127.0	0.0	100.0	52.0	46.37904627709254	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N6_FWB_pup_end_2019B_1	N6_FWB_pup_end_2019B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	67011547.0	0.0	100.0	52.0	40.38269477737585	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N6_FWB_pup_end_2019B_2	N6_FWB_pup_end_2019B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	67011547.0	0.0	100.0	53.0	41.08275003403497	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N6_FWB_pup_start_2019B_1	N6_FWB_pup_start_2019B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24876086.0	0.0	100.0	53.0	42.723739628583914	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N6_FWB_pup_start_2019B_2	N6_FWB_pup_start_2019B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24876086.0	0.0	100.0	53.0	43.97079380658205	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N8_FWB_pup_end_2019B_1	N8_FWB_pup_end_2019B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45913920.0	0.0	100.0	52.0	49.20989058279881	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N8_FWB_pup_end_2019B_2	N8_FWB_pup_end_2019B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45913920.0	0.0	100.0	52.0	54.27504173142192	100.0	100	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N8_FWB_pup_start_2019B_1	N8_FWB_pup_start_2019B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	62820767.0	0.0	100.0	53.0	37.48369515935286	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N8_FWB_pup_start_2019B_2	N8_FWB_pup_start_2019B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	62820767.0	0.0	100.0	53.0	40.05444683401466	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S14_SSB_mum_end_2018B_1	S14_SSB_mum_end_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35095566.0	0.0	100.0	54.0	33.513019337569595	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S14_SSB_mum_end_2018B_2	S14_SSB_mum_end_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35095566.0	0.0	100.0	54.0	36.92867918918397	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S14_SSB_mum_start_2018B_1	S14_SSB_mum_start_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11085139.0	0.0	100.0	55.0	23.581884354291343	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S14_SSB_mum_start_2018B_2	S14_SSB_mum_start_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11085139.0	0.0	100.0	55.0	27.084924238377862	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S15_SSB_mum_end_2018B_1	S15_SSB_mum_end_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7490789.0	0.0	100.0	55.0	45.920822842360224	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S15_SSB_mum_end_2018B_2	S15_SSB_mum_end_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7490789.0	0.0	100.0	55.0	49.54450595870123	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S15_SSB_mum_start_2018B_1	S15_SSB_mum_start_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46381030.0	0.0	100.0	54.0	30.714467339705543	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S15_SSB_mum_start_2018B_2	S15_SSB_mum_start_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46381030.0	0.0	100.0	54.0	33.98936085377116	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S17_SSB_mum_end_2018B_1	S17_SSB_mum_end_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28919800.0	0.0	100.0	54.0	38.70510315068924	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S17_SSB_mum_end_2018B_2	S17_SSB_mum_end_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28919800.0	0.0	100.0	54.0	42.018105824351586	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S17_SSB_mum_start_2018B_1	S17_SSB_mum_start_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24539424.0	0.0	100.0	54.0	38.59789716728084	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S17_SSB_mum_start_2018B_2	S17_SSB_mum_start_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24539424.0	0.0	100.0	54.0	39.47732480659434	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S18_SSB_mum_end_2018B_1	S18_SSB_mum_end_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31925953.0	0.0	100.0	54.0	30.673855238488272	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S18_SSB_mum_end_2018B_2	S18_SSB_mum_end_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31925953.0	0.0	100.0	54.0	33.542862551510865	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S18_SSB_mum_start_2018B_1	S18_SSB_mum_start_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20938323.0	0.0	100.0	54.0	33.90619932334021	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S18_SSB_mum_start_2018B_2	S18_SSB_mum_start_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20938323.0	0.0	100.0	54.0	38.68519577000111	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S19_SSB_mum_end_2018B_1	S19_SSB_mum_end_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17785471.0	0.0	100.0	55.0	35.29781479897708	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S19_SSB_mum_end_2018B_2	S19_SSB_mum_end_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17785471.0	0.0	100.0	55.0	36.417350489684644	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S19_SSB_mum_start_2018B_1	S19_SSB_mum_start_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12778892.0	0.0	100.0	55.0	33.53594791662225	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S19_SSB_mum_start_2018B_2	S19_SSB_mum_start_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12778892.0	0.0	100.0	55.0	35.84290546195548	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S20_SSB_mum_end_2018B_1	S20_SSB_mum_end_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19758563.0	0.0	100.0	54.0	40.19656932881656	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S20_SSB_mum_end_2018B_2	S20_SSB_mum_end_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19758563.0	0.0	100.0	54.0	43.23659278316355	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S20_SSB_mum_start_2018B_1	S20_SSB_mum_start_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	65737562.0	0.0	100.0	51.0	50.004232374730975	100.0	100	pass	pass	pass	fail	fail	pass	pass	warn	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S20_SSB_mum_start_2018B_2	S20_SSB_mum_start_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	65737562.0	0.0	100.0	52.0	49.79896549247093	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S21_SSB_mum_end_2018B_1	S21_SSB_mum_end_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49800761.0	0.0	100.0	53.0	50.538818600834745	100.0	100	pass	pass	pass	warn	fail	pass	pass	warn	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S21_SSB_mum_end_2018B_2	S21_SSB_mum_end_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49800761.0	0.0	100.0	53.0	50.918090792564286	100.0	100	pass	pass	pass	warn	fail	pass	pass	warn	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S21_SSB_mum_start_2018B_1	S21_SSB_mum_start_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57380583.0	0.0	100.0	54.0	26.858377154654388	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S21_SSB_mum_start_2018B_2	S21_SSB_mum_start_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57380583.0	0.0	100.0	54.0	29.581777302548083	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S23_SSB_mum_end_2018B_1	S23_SSB_mum_end_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43107790.0	0.0	100.0	53.0	44.185746310900434	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S23_SSB_mum_end_2018B_2	S23_SSB_mum_end_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43107790.0	0.0	100.0	53.0	46.885792816588825	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S23_SSB_mum_start_2018B_1	S23_SSB_mum_start_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56081120.0	0.0	100.0	51.0	44.539444124580655	100.0	100	pass	pass	pass	fail	fail	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S23_SSB_mum_start_2018B_2	S23_SSB_mum_start_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56081120.0	0.0	100.0	52.0	47.06610067286549	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S2_SSB_mum_end_2018B_1	S2_SSB_mum_end_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18732444.0	0.0	100.0	54.0	41.28448848778886	100.0	100	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S2_SSB_mum_end_2018B_2	S2_SSB_mum_end_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18732444.0	0.0	100.0	54.0	43.82118808374392	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S2_SSB_mum_start_2018B_1	S2_SSB_mum_start_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29001962.0	0.0	100.0	54.0	34.84816753559916	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S2_SSB_mum_start_2018B_2	S2_SSB_mum_start_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29001962.0	0.0	100.0	54.0	37.65056120434211	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S6_SSB_mum_end_2018B_1	S6_SSB_mum_end_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50387485.0	0.0	100.0	53.0	38.92266205357074	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S6_SSB_mum_end_2018B_2	S6_SSB_mum_end_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50387485.0	0.0	100.0	53.0	40.895077993766925	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S6_SSB_mum_start_2018B_1	S6_SSB_mum_start_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	59480433.0	0.0	100.0	53.0	26.95148778162198	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S6_SSB_mum_start_2018B_2	S6_SSB_mum_start_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	59480433.0	0.0	100.0	53.0	32.002992201265265	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S7_SSB_mum_end_2018B_1	S7_SSB_mum_end_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	55725484.0	0.0	100.0	52.0	42.82131224583124	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S7_SSB_mum_end_2018B_2	S7_SSB_mum_end_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	55725484.0	0.0	100.0	52.0	44.865853317942666	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S7_SSB_mum_start_2018B_1	S7_SSB_mum_start_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17067790.0	0.0	100.0	54.0	28.986503702684868	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S7_SSB_mum_start_2018B_2	S7_SSB_mum_start_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17067790.0	0.0	100.0	54.0	31.424003715485416	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S9_SSB_mum_end_2018B_1	S9_SSB_mum_end_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	66763621.0	0.0	100.0	52.0	46.29628500919771	100.0	100	pass	pass	pass	fail	fail	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S9_SSB_mum_end_2018B_2	S9_SSB_mum_end_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	66763621.0	0.0	100.0	52.0	47.92050964699614	100.0	100	pass	pass	pass	fail	fail	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S9_SSB_mum_start_2018B_1	S9_SSB_mum_start_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	55067322.0	0.0	100.0	54.0	37.3670467451673	100.0	100	pass	pass	pass	warn	fail	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | S9_SSB_mum_start_2018B_2	S9_SSB_mum_start_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	55067322.0	0.0	100.0	54.0	39.59778727002286	100.0	100	pass	pass	pass	warn	fail	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | SSB15_SSB_mum_end_2019B_1	SSB15_SSB_mum_end_2019B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23811237.0	0.0	100.0	53.0	48.79250611110446	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | SSB15_SSB_mum_end_2019B_2	SSB15_SSB_mum_end_2019B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23811237.0	0.0	100.0	53.0	50.718459864669995	100.0	100	pass	pass	pass	warn	warn	pass	pass	warn	pass	pass
