Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H13_SSB_pup_end_2018B_1	H13_SSB_pup_end_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38702151.0	0.0	100.0	54.0	49.689275679480446	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H13_SSB_pup_end_2018B_2	H13_SSB_pup_end_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38702151.0	0.0	100.0	54.0	50.245439224061116	100.0	100	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H13_SSB_pup_start_2018B_1	H13_SSB_pup_start_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	65665412.0	0.0	100.0	52.0	47.30080742356669	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H13_SSB_pup_start_2018B_2	H13_SSB_pup_start_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	65665412.0	0.0	100.0	52.0	48.78510218013515	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H14_SSB_pup_end_2018B_1	H14_SSB_pup_end_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18862736.0	0.0	100.0	54.0	39.47852232625551	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H14_SSB_pup_end_2018B_2	H14_SSB_pup_end_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18862736.0	0.0	100.0	54.0	41.04686294850688	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H14_SSB_pup_start_2018B_1	H14_SSB_pup_start_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28707508.0	0.0	100.0	54.0	38.304277702311225	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H14_SSB_pup_start_2018B_2	H14_SSB_pup_start_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28707508.0	0.0	100.0	54.0	41.641174872048595	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H16_SSB_pup_end_2018B_1	H16_SSB_pup_end_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	58132296.0	0.0	100.0	54.0	40.78700854831836	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H16_SSB_pup_end_2018B_2	H16_SSB_pup_end_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	58132296.0	0.0	100.0	54.0	47.2195170590491	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
