ID,froh.new,sMLH_SNP.new
F1,0.0735089293800819,0.988960249081828
F10,0.067913700418507,1.00446580526583
F11,0.0798751112212646,0.996061312687088
F12,0.0741195416323068,1.00257654380951
F13,0.0761455442994014,0.996026971672898
F14,0.0658108221081466,1.02343894516403
F15,0.0754870495036567,0.998023276563594
F16,0.063569128350518,1.00467209483927
F17,0.0570360165411011,1.01055452240626
F18,0.0708301426793137,1.01247813786759
F19,0.0529343715058318,1.0060526719148
F2,0.0881908593756662,0.99362579265676
F20,0.0790993261583658,1.00635465191497
F21,0.0727168906097498,1.01014649986669
F22,0.0488177906312994,1.00583750139687
F23,0.074442858623413,1.00239800406539
F24,0.045702789566172,1.02765877494949
F25,0.0741871921983807,1.01857608194002
F26,0.0671203437800046,1.00079369128049
F3,0.0532800922558325,1.01363281185635
F4,0.0543321903450978,1.00118924554679
F5,0.0614073852618856,1.01449588488662
F6,0.0734570932320513,1.00981427760808
F7,0.0602898330534969,1.02693128845408
F8,0.0558811247345548,1.02168387369774
F9,0.0659382160312727,NA
FWB1,0.0662918439902951,1.00864409267262
FWB10,0.066272075967741,NA
FWB11,0.0471867091258957,1.03339016830756
FWB12,0.0808490157990939,1.00153435453463
FWB13,0.0711521418022496,NA
FWB14,0.0820627723839122,0.995196245736287
FWB15,0.0525416467910914,0.999660454376753
FWB16,0.0684461191592959,0.99392133934553
FWB17,0.068876622761584,1.01431991460439
FWB18,0.0659619376583376,NA
FWB19,0.084338730713968,0.986679943228612
FWB2,0.0849739431720379,0.984371490109264
FWB20,0.0728952421021263,1.00258140650441
FWB21,0.0719591164118448,1.00293902262698
FWB22,0.0650240548104957,1.01676140616646
FWB23,0.065489701563990907,1.00506683223452
FWB24,0.0689007836780389,1.00221172467626
FWB25,0.0669375993937272,1.00339467283423
FWB3,0.0496577119451513,1.00080095933753
FWB4,0.0626813244931463,0.990994718410706
FWB5,0.0518361480306071,1.00595429565334
FWB6,0.058677640991867,1.00292738696082
FWB7,0.0852019343654946,1.00011920431135
FWB8,0.0607958944308805,1.00294753708301
FWB9,0.0654290796281585,1.0022502206449
S1,0.0765321189626805,1.00595098341918
S10,0.0617548631694467,1.01038589077658
S11,0.077218728279391,0.999536125204056
S12,0.0517206149210134,1.02583595053271
S13,0.0364938342949006,1.04077811274767
S14,0.0756355293175071,1.0012594033823
S15,0.0777946366697989,0.989675155325995
S16,0.062680006624976,1.01968766131648
S17,0.0630485704232614,1.01827432149478
S18,0.0846971908562813,0.970482234913511
S19,0.0663252299839419,1.00815981257088
S2,0.0804202693543661,0.998017887262623
S20,0.0887118565923128,1.01103033808828
S21,0.0797543066389899,1.00671538112948
S22,0.077008308661538,0.994999480667761
S23,0.0864969594874796,0.990226245182194
S24,0.0604637916519725,1.00989472973928
S25,0.07051868650174,0.997828381873599
S3,0.0432525212061286,1.01293057242153
S4,0.0447526066154076,1.04546034724322
S5,0.0609883031837398,1.01202817238871
S6,0.0700275609636195,1.00418696963889
S7,0.0705375759455139,0.987230675627635
S8,0.078493985378822,0.973475341223914
S9,0.088692967148539,0.977133015300194
SSB1,0.0558718996573629,1.01482917512852
SSB10,0.0744345121250013,1.00767757318236
SSB11,0.0663902448136752,1.00773979528117
SSB12,0.0888247539655659,0.987073123660167
SSB13,0.0550420819994831,0.993606447622803
SSB14,0.0563313963593969,1.00580880402751
SSB15,0.0633121440573154,0.995065666573622
SSB16,0.0596634063832287,0.997108865430206
SSB17,0.0428129243134657,1.01419429236691
SSB18,0.0610256427818975,1.02000110844804
SSB19,0.0846295402902075,0.984960817506238
SSB2,0.0666344897145652,NA
SSB20,0.0734210715020639,0.990584730394311
