ID;rna_file;rna_lib_type;rna_batch;pair;mother;sex;date_birth;remark;year;timepoint_sample;sample_collection_date;sample_collection_Dec_days;delta_days_samples;age_days;tissue;colony;life_history_stage
H18;H18_SSB_pup_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S19_H18;S19;M;14-12-2018;NA;2018_2019;1;16-12-2018;16;0;2;blood;SSB;Pup
S19;S19_SSB_mum_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S19_H18;NA;F;NA;NA;2018_2019;2;13-02-2019;75;59;NA;blood;SSB;Mother
H18;H18_SSB_pup_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S19_H18;S19;M;14-12-2018;NA;2018_2019;2;13-02-2019;75;59;61;blood;SSB;Pup
S2;S2_SSB_mum_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S2_H3;NA;F;NA;NA;2018_2019;1;05-12-2018;5;0;NA;blood;SSB;Mother
H3;H3_SSB_pup_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCuueE;S2_H3;S2;F;03-12-2018;NA;2018_2019;1;05-12-2018;5;0;2;blood;SSB;Pup
S2;S2_SSB_mum_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S2_H3;NA;F;NA;NA;2018_2019;2;06-02-2019;68;63;NA;blood;SSB;Mother
H3;H3_SSB_pup_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCutzE;S2_H3;S2;F;03-12-2018;NA;2018_2019;2;06-02-2019;68;63;65;blood;SSB;Pup
S20;S20_SSB_mum_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCuueE;S20_H19;NA;F;NA;NA;2018_2019;1;16-12-2018;16;0;NA;blood;SSB;Mother
H19;H19_SSB_pup_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCutzE;S20_H19;S20;F;14-12-2018;NA;2018_2019;1;16-12-2018;16;0;2;blood;SSB;Pup
H19;H19_SSB_pup_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCutzE;S20_H19;S20;F;14-12-2018;NA;2018_2019;2;30-01-2019;61;45;47;blood;SSB;Pup
S20;S20_SSB_mum_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S20_H19;NA;F;NA;NA;2018_2019;2;30-01-2019;61;45;NA;blood;SSB;Mother
S21;S21_SSB_mum_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S21_H20;NA;F;NA;NA;2018_2019;1;23-12-2018;23;0;NA;blood;SSB;Mother
H20;H20_SSB_pup_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S21_H20;S21;M;20-12-2018;NA;2018_2019;1;23-12-2018;23;0;3;blood;SSB;Pup
S21;S21_SSB_mum_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCuueE;S21_H20;NA;F;NA;NA;2018_2019;2;15-02-2019;77;54;NA;blood;SSB;Mother
H20;H20_SSB_pup_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S21_H20;S21;M;20-12-2018;NA;2018_2019;2;15-02-2019;77;54;57;blood;SSB;Pup
S23;S23_SSB_mum_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S23_H22;NA;F;NA;NA;2018_2019;1;25-12-2018;25;0;NA;blood;SSB;Mother
H22;H22_SSB_pup_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S23_H22;S23;F;22-12-2018;NA;2018_2019;1;25-12-2018;25;0;3;blood;SSB;Pup
S23;S23_SSB_mum_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S23_H22;NA;F;NA;NA;2018_2019;2;11-02-2019;73;48;NA;blood;SSB;Mother
H22;H22_SSB_pup_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S23_H22;S23;F;22-12-2018;NA;2018_2019;2;11-02-2019;73;48;51;blood;SSB;Pup
S6;S6_SSB_mum_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S6_H6;NA;F;NA;NA;2018_2019;1;07-12-2018;7;0;NA;blood;SSB;Mother
H6;H6_SSB_pup_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S6_H6;S6;M;04-12-2018;NA;2018_2019;1;07-12-2018;7;0;3;blood;SSB;Pup
H6;H6_SSB_pup_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S6_H6;S6;M;04-12-2018;NA;2018_2019;2;03-02-2019;65;58;61;blood;SSB;Pup
S6;S6_SSB_mum_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCutzE;S6_H6;NA;F;NA;NA;2018_2019;2;03-02-2019;65;58;NA;blood;SSB;Mother
S7;S7_SSB_mum_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S7_H7;NA;F;NA;NA;2018_2019;1;08-12-2018;8;0;NA;blood;SSB;Mother
H7;H7_SSB_pup_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S7_H7;S7;F;05-12-2018;NA;2018_2019;1;08-12-2018;8;0;3;blood;SSB;Pup
S7;S7_SSB_mum_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S7_H7;NA;F;NA;NA;2018_2019;2;11-02-2019;73;65;NA;blood;SSB;Mother
H7;H7_SSB_pup_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S7_H7;S7;F;05-12-2018;NA;2018_2019;2;11-02-2019;73;65;68;blood;SSB;Pup
S9;S9_SSB_mum_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S9_H8;NA;F;NA;NA;2018_2019;1;09-12-2018;9;0;NA;blood;SSB;Mother
H8;H8_SSB_pup_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S9_H8;S9;M;05-12-2018;NA;2018_2019;1;09-12-2018;9;0;4;blood;SSB;Pup
S9;S9_SSB_mum_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S9_H8;NA;F;NA;NA;2018_2019;2;19-02-2019;81;72;NA;blood;SSB;Mother
H8;H8_SSB_pup_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;S9_H8;S9;M;05-12-2018;NA;2018_2019;2;19-02-2019;81;72;76;blood;SSB;Pup
SSB15;SSB15_SSB_mum_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;SSB15_T15;NA;F;NA;NA;2019_2020;1;11-12-2019;11;0;NA;blood;SSB;Mother
T15;T15_SSB_pup_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;SSB15_T15;SSB15;F;08-12-2019;NA;2019_2020;1;11-12-2019;11;0;3;blood;SSB;Pup
SSB15;SSB15_SSB_mum_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;SSB15_T15;NA;F;NA;NA;2019_2020;2;10-02-2020;72;61;NA;blood;SSB;Mother
T15;T15_SSB_pup_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCokaE;SSB15_T15;SSB15;F;08-12-2019;NA;2019_2020;2;10-02-2020;72;61;64;blood;SSB;Pup
SSB16;SSB16_SSB_mum_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCutzE;SSB16_T16;NA;F;NA;NA;2019_2020;1;16-12-2019;16;0;NA;blood;SSB;Mother
T16;T16_SSB_pup_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;SSB16_T16;SSB16;M;12-12-2019;NA;2019_2020;1;16-12-2019;16;0;4;blood;SSB;Pup
SSB16;SSB16_SSB_mum_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;SSB16_T16;NA;F;NA;NA;2019_2020;2;23-02-2020;85;69;NA;blood;SSB;Mother
T16;T16_SSB_pup_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;SSB16_T16;SSB16;M;12-12-2019;NA;2019_2020;2;23-02-2020;85;69;73;blood;SSB;Pup
SSB2;SSB2_SSB_mum_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;SSB2_T2;NA;F;NA;NA;2019_2020;1;02-12-2019;2;0;NA;blood;SSB;Mother
T2;T2_SSB_pup_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCutzE;SSB2_T2;SSB2;F;28-11-2019;NA;2019_2020;1;02-12-2019;2;0;4;blood;SSB;Pup
SSB2;SSB2_SSB_mum_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;SSB2_T2;NA;F;NA;NA;2019_2020;2;04-02-2020;66;64;NA;blood;SSB;Mother
T2;T2_SSB_pup_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;SSB2_T2;SSB2;F;28-11-2019;NA;2019_2020;2;04-02-2020;66;64;68;blood;SSB;Pup
SSB20;SSB20_SSB_mum_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;SSB20_T20;NA;F;NA;NA;2019_2020;1;21-12-2019;21;0;NA;blood;SSB;Mother
T20;T20_SSB_pup_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;SSB20_T20;SSB20;M;18-12-2019;NA;2019_2020;2;03-03-2020;94;73;76;blood;SSB;Pup
SSB20;SSB20_SSB_mum_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCutzE;SSB20_T20;NA;F;NA;NA;2019_2020;2;03-03-2020;94;73;NA;blood;SSB;Mother
SSB21;SSB21_SSB_mum_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;SSB21_T21;NA;F;NA;NA;2019_2020;1;21-12-2019;21;0;NA;blood;SSB;Mother
T21;T21_SSB_pup_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCutzE;SSB21_T21;SSB21;NA;NA;this pup is not in the epi study so I might not have all info;2019_2020;1;21-12-2019;21;0;2to5;blood;SSB;Pup
SSB21;SSB21_SSB_mum_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;SSB21_T21;NA;F;NA;NA;2019_2020;2;27-01-2020;58;NA;NA;blood;SSB;Mother
SSB6;SSB6_SSB_mum_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;SSB6_T6;NA;F;NA;NA;2019_2020;1;04-12-2019;4;0;NA;blood;SSB;Mother
T6;T6_SSB_pup_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;SSB6_T6;SSB6;F;30-11-2019;NA;2019_2020;1;04-12-2019;4;0;4;blood;SSB;Pup
SSB6;SSB6_SSB_mum_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;SSB6_T6;NA;F;NA;NA;2019_2020;2;27-02-2020;89;85;NA;blood;SSB;Mother
T6;T6_SSB_pup_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;SSB6_T6;SSB6;F;30-11-2019;NA;2019_2020;2;27-02-2020;89;85;89;blood;SSB;Pup
SSB7;SSB7_SSB_mum_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCutzE;SSB7_T7;NA;F;NA;NA;2019_2020;1;05-12-2019;5;0;NA;blood;SSB;Mother
T7;T7_SSB_pup_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;SSB7_T7;SSB7;F;30-11-2019;NA;2019_2020;1;05-12-2019;5;0;5;blood;SSB;Pup
SSB7;SSB7_SSB_mum_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;SSB7_T7;NA;F;NA;NA;2019_2020;2;06-02-2020;68;63;NA;blood;SSB;Mother
T7;T7_SSB_pup_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;SSB7_T7;SSB7;F;30-11-2019;NA;2019_2020;2;06-02-2020;68;63;68;blood;SSB;Pup
T8;T8_SSB_pup_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;SSB8_T8;SSB8;M;02-12-2019;NA;2019_2020;1;05-12-2019;5;0;3;blood;SSB;Pup
T8;T8_SSB_pup_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;SSB8_T8;SSB8;M;02-12-2019;NA;2019_2020;2;18-02-2020;80;75;78;blood;SSB;Pup
SSB9;SSB9_SSB_mum_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;SSB9_T9;NA;F;NA;NA;2019_2020;1;06-12-2019;6;0;NA;blood;SSB;Mother
T9;T9_SSB_pup_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;SSB9_T9;SSB9;F;02-12-2019;NA;2019_2020;1;06-12-2019;6;0;4;blood;SSB;Pup
SSB9;SSB9_SSB_mum_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;SSB9_T9;NA;F;NA;NA;2019_2020;2;04-03-2020;95;89;NA;blood;SSB;Mother
T9;T9_SSB_pup_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;SSB9_T9;SSB9;F;02-12-2019;NA;2019_2020;2;04-03-2020;95;89;93;blood;SSB;Pup
