ID;rna_file;rna_lib_type;rna_batch;pair;mother;sex;date_birth;remark;year;timepoint_sample;sample_collection_date;sample_collection_Dec_days;delta_days_samples;age_days;tissue;colony;life_history_stage
F21;F21_FWB_mum_start_2018;BGISEQ-500 Transcriptome;F20FTSEUHT0820_ARCbfrE;F21_C21;NA;F;NA;NA;2018_2019;1;21-12-2018;21;0;NA;blood;FWB;Mother
C21;C21_FWB_pup_start_2018;BGISEQ-500 Transcriptome;F20FTSEUHT0820_ARCbfrE;F21_C21;F21;M;NA;NA;2018_2019;1;21-12-2018;21;0;2to5;blood;FWB;Pup
F24;F24_FWB_mum_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F24_C24;NA;F;NA;NA;2018_2019;1;21-12-2018;21;0;NA;blood;FWB;Mother
C24;C24_FWB_pup_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F24_C24;F24;M;NA;NA;2018_2019;1;21-12-2018;21;0;2to5;blood;FWB;Pup
F24;F24_FWB_mum_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F24_C24;NA;F;NA;NA;2018_2019;2;17-02-2019;79;58;NA;blood;FWB;Mother
C24;C24_FWB_pup_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F24_C24;F24;M;NA;not sure about delta days;2018_2019;2;17-02-2019;79;58;61;blood;FWB;Pup
F5;F5_FWB_mum_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F5_C5;NA;F;NA;NA;2018_2019;1;14-12-2018;14;0;NA;blood;FWB;Mother
C5;C5_FWB_pup_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCutzE;F5_C5;F5;M;NA;NA;2018_2019;1;14-12-2018;14;0;2to5;blood;FWB;Pup
F5;F5_FWB_mum_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F5_C5;NA;F;NA;NA;2018_2019;2;09-02-2019;71;57;NA;blood;FWB;Mother
C5;C5_FWB_pup_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCuueE;F5_C5;F5;M;NA;not sure about delta days;2018_2019;2;09-02-2019;71;57;60;blood;FWB;Pup
F6;F6_FWB_mum_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F6_C6;NA;F;NA;NA;2018_2019;1;15-12-2018;15;0;NA;blood;FWB;Mother
C6;C6_FWB_pup_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F6_C6;F6;F;NA;NA;2018_2019;1;15-12-2018;15;0;2to5;blood;FWB;Pup
F6;F6_FWB_mum_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F6_C6;NA;F;NA;NA;2018_2019;2;06-02-2019;68;53;NA;blood;FWB;Mother
C6;C6_FWB_pup_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F6_C6;F6;F;NA;not sure about delta days;2018_2019;2;06-02-2019;68;53;56;blood;FWB;Pup
